epoch,step,train_Energy_MAE,train_Energy_RMSE,train_Force_MAE,train_Force_RMSE,train_Magmom_MAE,train_Magmom_RMSE,train_Stress_MAE,train_Stress_RMSE,train_Total_Loss,val_Energy_MAE,val_Energy_RMSE,val_Force_MAE,val_Force_RMSE,val_Magmom_MAE,val_Magmom_RMSE,val_Stress_MAE,val_Stress_RMSE,val_Total_Loss
0,69,,,,,,,,,,1.5482138395309448,2.2914042472839355,0.029626891016960144,0.05080870911478996,0.0,0.0,1.0749359130859375,2.232703685760498,9.385982513427734
0,69,1.2458451986312866,1.9437754154205322,0.03513091802597046,0.06332696229219437,0.0,0.0,0.9764994978904724,2.1407570838928223,8.478621482849121,,,,,,,,,
1,139,,,,,,,,,,1.4822043180465698,2.194356918334961,0.032415684312582016,0.05599774047732353,0.0,0.0,1.0803431272506714,2.347475051879883,8.88397216796875
1,139,1.2009468078613281,1.8270725011825562,0.030551962554454803,0.05438957363367081,0.0,0.0,0.7128308415412903,1.485247015953064,7.870498180389404,,,,,,,,,
2,209,,,,,,,,,,1.42542564868927,2.0872199535369873,0.04144683852791786,0.0717417523264885,0.0,0.0,1.0993413925170898,2.4003984928131104,8.229101181030273
2,209,1.163936972618103,1.748882532119751,0.03622182458639145,0.0649254098534584,0.0,0.0,0.6660345196723938,1.443315863609314,7.422470569610596,,,,,,,,,
3,279,,,,,,,,,,1.3885160684585571,1.980092167854309,0.0540204793214798,0.09403982013463974,0.0,0.0,1.2506515979766846,2.846280813217163,7.703081130981445
3,279,1.1682651042938232,1.755068302154541,0.04753434658050537,0.08384959399700165,0.0,0.0,0.7321418523788452,1.5773131847381592,6.927151679992676,,,,,,,,,
4,349,,,,,,,,,,1.3765804767608643,1.9107731580734253,0.0659613087773323,0.11415215581655502,0.0,0.0,1.217603325843811,2.7654552459716797,6.904064655303955
4,349,1.2311222553253174,1.7682297229766846,0.06152796000242233,0.11136241257190704,0.0,0.0,0.7543119192123413,1.5907154083251953,6.440607070922852,,,,,,,,,
5,419,,,,,,,,,,1.3519926071166992,1.8578767776489258,0.06468097865581512,0.11084312200546265,0.0,0.0,1.278995394706726,2.7594962120056152,6.392153263092041
5,419,1.2687945365905762,1.780778408050537,0.07488781958818436,0.13421928882598877,0.0,0.0,0.8221452832221985,1.7366571426391602,6.2009077072143555,,,,,,,,,
6,489,,,,,,,,,,1.3227076530456543,1.8181037902832031,0.06851138919591904,0.11731236428022385,0.0,0.0,1.282328724861145,2.788942337036133,6.032605171203613
6,489,1.2785379886627197,1.777928113937378,0.07307741791009903,0.13200631737709045,0.0,0.0,0.7817282676696777,1.6823112964630127,5.94412899017334,,,,,,,,,
7,559,,,,,,,,,,1.298563003540039,1.7911970615386963,0.07191193103790283,0.12430527806282043,0.0,0.0,1.222304344177246,2.507476568222046,5.724534511566162
7,559,1.2354111671447754,1.698545217514038,0.08499885350465775,0.15349608659744263,0.0,0.0,0.8220294117927551,1.8025346994400024,5.646206855773926,,,,,,,,,
8,629,,,,,,,,,,1.2700841426849365,1.738126277923584,0.07955504208803177,0.13759146630764008,0.0,0.0,1.2315481901168823,2.576730966567993,5.337501525878906
8,629,1.2075188159942627,1.6544870138168335,0.09545798599720001,0.175918310880661,0.0,0.0,0.6918243169784546,1.530954360961914,5.2667036056518555,,,,,,,,,
9,699,,,,,,,,,,1.252284288406372,1.6924525499343872,0.0906936302781105,0.15682849287986755,0.0,0.0,1.2548389434814453,2.6402699947357178,4.999322414398193
9,699,1.2033685445785522,1.6374452114105225,0.11035974323749542,0.20088481903076172,0.0,0.0,0.6118698716163635,1.29489266872406,4.9990739822387695,,,,,,,,,
10,769,,,,,,,,,,1.218123435974121,1.6561695337295532,0.09205248951911926,0.1637892872095108,0.0,0.0,1.275951623916626,2.6964550018310547,4.8108086585998535
10,769,1.1665809154510498,1.6173468828201294,0.10837177187204361,0.20173859596252441,0.0,0.0,0.6487286686897278,1.4332003593444824,4.676262855529785,,,,,,,,,
11,839,,,,,,,,,,1.1899124383926392,1.6113399267196655,0.09919954091310501,0.17875197529792786,0.0,0.0,1.331726312637329,2.894819498062134,4.617526054382324
11,839,1.1198534965515137,1.495924472808838,0.11399214714765549,0.22230924665927887,0.0,0.0,0.6251857280731201,1.3853729963302612,4.374617099761963,,,,,,,,,
12,909,,,,,,,,,,1.1732722520828247,1.6041741371154785,0.09023598581552505,0.16108286380767822,0.0,0.0,1.496108889579773,3.2568469047546387,4.800229072570801
12,909,1.1139706373214722,1.527489185333252,0.11323387920856476,0.2118718922138214,0.0,0.0,0.7702620029449463,1.8342865705490112,4.270816326141357,,,,,,,,,
13,979,,,,,,,,,,1.1680411100387573,1.6028679609298706,0.0857277512550354,0.15790890157222748,0.0,0.0,1.4298810958862305,3.078784465789795,4.68843412399292
