epoch,step,train_Energy_MAE,train_Energy_RMSE,train_Force_MAE,train_Force_RMSE,train_Magmom_MAE,train_Magmom_RMSE,train_Stress_MAE,train_Stress_RMSE,train_Total_Loss,val_Energy_MAE,val_Energy_RMSE,val_Force_MAE,val_Force_RMSE,val_Magmom_MAE,val_Magmom_RMSE,val_Stress_MAE,val_Stress_RMSE,val_Total_Loss
0,69,,,,,,,,,,1.5427711009979248,2.28136944770813,0.02967570722103119,0.05094509944319725,0.0,0.0,1.083263874053955,2.2664597034454346,9.335127830505371
0,69,1.2440098524093628,1.9077341556549072,0.03493097797036171,0.0661144107580185,0.0,0.0,1.0193777084350586,2.278002977371216,8.470142364501953,,,,,,,,,
1,139,,,,,,,,,,1.4775112867355347,2.185086965560913,0.032157495617866516,0.056061357259750366,0.0,0.0,1.1368454694747925,2.4776134490966797,8.88442611694336
1,139,1.1965068578720093,1.8347887992858887,0.03075842186808586,0.05528445541858673,0.0,0.0,0.6687862277030945,1.4055380821228027,7.834772109985352,,,,,,,,,
2,209,,,,,,,,,,1.4299912452697754,2.0884406566619873,0.04068771004676819,0.07058876752853394,0.0,0.0,1.092126488685608,2.370968818664551,8.231446266174316
2,209,1.16679847240448,1.6940776109695435,0.03716158866882324,0.06725694984197617,0.0,0.0,0.6228012442588806,1.3310316801071167,7.391948223114014,,,,,,,,,
3,279,,,,,,,,,,1.3974205255508423,1.9864407777786255,0.04952066391706467,0.08614184707403183,0.0,0.0,1.208268642425537,2.7090015411376953,7.621427536010742
3,279,1.1730297803878784,1.7551777362823486,0.04494491219520569,0.0806521624326706,0.0,0.0,0.684563159942627,1.5026159286499023,6.900080680847168,,,,,,,,,
4,349,,,,,,,,,,1.3784054517745972,1.9208847284317017,0.059317637234926224,0.10252107679843903,0.0,0.0,1.178544521331787,2.5568723678588867,6.8975019454956055
4,349,1.2389864921569824,1.787803053855896,0.059657830744981766,0.10976268351078033,0.0,0.0,0.7402127385139465,1.581703543663025,6.45645809173584,,,,,,,,,
5,419,,,,,,,,,,1.3648877143859863,1.8718225955963135,0.06433765590190887,0.11371409147977829,0.0,0.0,1.2484703063964844,2.715023994445801,6.403697967529297
5,419,1.2518550157546997,1.754380702972412,0.06983981281518936,0.12677259743213654,0.0,0.0,0.7925143837928772,1.7818034887313843,6.245051383972168,,,,,,,,,
6,489,,,,,,,,,,1.338153600692749,1.8294447660446167,0.0677083283662796,0.11494409292936325,0.0,0.0,1.3128159046173096,2.7142515182495117,6.000263214111328
6,489,1.269721508026123,1.7992104291915894,0.08317284286022186,0.15332652628421783,0.0,0.0,0.7636078000068665,1.67526113986969,5.910455703735352,,,,,,,,,
7,559,,,,,,,,,,1.3038641214370728,1.7729015350341797,0.07509317994117737,0.12888573110103607,0.0,0.0,1.310296893119812,2.6797592639923096,5.570960521697998
7,559,1.2439824342727661,1.6888082027435303,0.0873224213719368,0.16093169152736664,0.0,0.0,0.708648681640625,1.51706862449646,5.511885643005371,,,,,,,,,
8,629,,,,,,,,,,1.2901053428649902,1.737326979637146,0.09350235760211945,0.1671411544084549,0.0,0.0,1.4526407718658447,3.0182971954345703,5.377505779266357
8,629,1.2265675067901611,1.6901357173919678,0.10759484767913818,0.1932632178068161,0.0,0.0,0.7149837613105774,1.6013150215148926,5.2454833984375,,,,,,,,,
9,699,,,,,,,,,,1.2297747135162354,1.6837507486343384,0.07953470945358276,0.14143437147140503,0.0,0.0,1.4303218126296997,2.891423225402832,4.996676445007324
9,699,1.1827826499938965,1.5959826707839966,0.10289878398180008,0.20087017118930817,0.0,0.0,0.6997042298316956,1.496498465538025,4.872106552124023,,,,,,,,,
10,769,,,,,,,,,,1.2126668691635132,1.6339374780654907,0.0965372622013092,0.17140129208564758,0.0,0.0,1.436323642730713,2.9852428436279297,4.692578315734863
10,769,1.1445344686508179,1.5284979343414307,0.11687867343425751,0.21677343547344208,0.0,0.0,0.6384561657905579,1.354367733001709,4.60721492767334,,,,,,,,,
11,839,,,,,,,,,,1.187195897102356,1.6190146207809448,0.08930132538080215,0.1612204909324646,0.0,0.0,1.5066099166870117,3.0752854347229004,4.690552711486816
11,839,1.124772071838379,1.5090343952178955,0.11720417439937592,0.2210579812526703,0.0,0.0,0.6808966398239136,1.5343343019485474,4.458993434906006,,,,,,,,,
12,909,,,,,,,,,,1.1604530811309814,1.5719623565673828,0.10135751962661743,0.18596115708351135,0.0,0.0,1.6686391830444336,3.627981185913086,4.691600799560547
12,909,1.0985920429229736,1.4980273246765137,0.10951738059520721,0.21264858543872833,0.0,0.0,0.6908990740776062,1.5688798427581787,4.211400985717773,,,,,,,,,
13,979,,,,,,,,,,1.140614628791809,1.5558501482009888,0.09462807327508926,0.17349742352962494,0.0,0.0,1.5844193696975708,3.429426431655884,4.444890022277832
13,979,1.0664880275726318,1.465949535369873,0.11336427181959152,0.2197236716747284,0.0,0.0,0.7391542792320251,1.7294422388076782,4.1063761711120605,,,,,,,,,
14,1049,,,,,,,,,,1.1078953742980957,1.5102407932281494,0.09745535999536514,0.17922009527683258,0.0,0.0,1.4114105701446533,3.001821994781494,4.048309326171875
14,1049,1.0389270782470703,1.4353976249694824,0.1185937374830246,0.22362332046031952,0.0,0.0,0.5909417271614075,1.338594675064087,3.7930421829223633,,,,,,,,,
