epoch,step,train_Energy_MAE,train_Energy_RMSE,train_Force_MAE,train_Force_RMSE,train_Magmom_MAE,train_Magmom_RMSE,train_Stress_MAE,train_Stress_RMSE,train_Total_Loss,val_Energy_MAE,val_Energy_RMSE,val_Force_MAE,val_Force_RMSE,val_Magmom_MAE,val_Magmom_RMSE,val_Stress_MAE,val_Stress_RMSE,val_Total_Loss
0,138,,,,,,,,,,1.5410261154174805,1.8016479015350342,0.022885821759700775,0.038017794489860535,0.0,0.0,0.9831708073616028,1.9223238229751587,9.63571834564209
0,138,1.2478727102279663,1.5261341333389282,0.02504998818039894,0.041623398661613464,0.0,0.0,0.9939309358596802,1.9490200281143188,8.74187183380127,,,,,,,,,
1,277,,,,,,,,,,1.4810243844985962,1.7320010662078857,0.02378959022462368,0.040403589606285095,0.0,0.0,1.0699880123138428,2.121434211730957,9.60247802734375
1,277,1.2022217512130737,1.465733289718628,0.025243962183594704,0.042832281440496445,0.0,0.0,0.6663599610328674,1.3289803266525269,8.140581130981445,,,,,,,,,
2,416,,,,,,,,,,1.427656650543213,1.6597912311553955,0.02950443886220455,0.04949880763888359,0.0,0.0,1.0204602479934692,2.005680799484253,8.54038143157959
2,416,1.1916569471359253,1.475955605506897,0.02715577930212021,0.046125225722789764,0.0,0.0,0.5666632056236267,1.1137672662734985,7.579894542694092,,,,,,,,,
3,555,,,,,,,,,,1.4015756845474243,1.6211336851119995,0.03516343981027603,0.05888419970870018,0.0,0.0,0.9969230890274048,1.9851933717727661,7.797323703765869
3,555,1.1978750228881836,1.4607635736465454,0.03495094180107117,0.058037079870700836,0.0,0.0,0.5609281063079834,1.0874160528182983,6.983709812164307,,,,,,,,,
4,694,,,,,,,,,,1.378278136253357,1.58977472782135,0.042048946022987366,0.0690946951508522,0.0,0.0,1.1446714401245117,2.2834484577178955,7.326964378356934
4,694,1.256860613822937,1.5400091409683228,0.04256003350019455,0.07093852758407593,0.0,0.0,0.647938072681427,1.284429669380188,6.639139652252197,,,,,,,,,
5,833,,,,,,,,,,1.3676438331604004,1.5758943557739258,0.04665432870388031,0.0758667066693306,0.0,0.0,1.0337424278259277,1.9843592643737793,6.960106372833252
5,833,1.2594140768051147,1.546163558959961,0.04243411868810654,0.07248558849096298,0.0,0.0,0.7037562727928162,1.4193568229675293,6.665685176849365,,,,,,,,,
6,972,,,,,,,,,,1.3533868789672852,1.5527148246765137,0.044850267469882965,0.07211268693208694,0.0,0.0,1.002242088317871,1.9522417783737183,6.482676029205322
6,972,1.2717112302780151,1.5091814994812012,0.05300112068653107,0.08833671361207962,0.0,0.0,0.6754481196403503,1.3456037044525146,6.295185565948486,,,,,,,,,
7,1111,,,,,,,,,,1.3158003091812134,1.515013337135315,0.047588594257831573,0.07777678966522217,0.0,0.0,1.1032829284667969,2.113358497619629,6.029215335845947
7,1111,1.2875213623046875,1.563966989517212,0.055150408297777176,0.09190688282251358,0.0,0.0,0.6683847904205322,1.3293591737747192,5.966389179229736,,,,,,,,,
8,1250,,,,,,,,,,1.3029255867004395,1.4905427694320679,0.050343431532382965,0.08105304092168808,0.0,0.0,1.0715652704238892,2.0739784240722656,5.6695780754089355
8,1250,1.2547885179519653,1.5040874481201172,0.05981120839715004,0.10052770376205444,0.0,0.0,0.6059197187423706,1.207399606704712,5.613300800323486,,,,,,,,,
9,1389,,,,,,,,,,1.2479362487792969,1.4353134632110596,0.055341437458992004,0.09188982844352722,0.0,0.0,1.133600115776062,2.1290111541748047,5.402988433837891
9,1389,1.246493935585022,1.4793280363082886,0.0719984844326973,0.1181216910481453,0.0,0.0,0.6242138147354126,1.2502939701080322,5.3173675537109375,,,,,,,,,
10,1528,,,,,,,,,,1.226120948791504,1.4106864929199219,0.051529474556446075,0.08516811579465866,0.0,0.0,1.2382633686065674,2.3941850662231445,5.386980056762695
10,1528,1.1806532144546509,1.3819966316223145,0.06297669559717178,0.10780948400497437,0.0,0.0,0.7489939332008362,1.5115770101547241,5.319414138793945,,,,,,,,,
11,1667,,,,,,,,,,1.2017043828964233,1.384089469909668,0.06078190729022026,0.10048110038042068,0.0,0.0,1.3104565143585205,2.468337297439575,5.253749847412109
11,1667,1.172052264213562,1.3692244291305542,0.0666251927614212,0.10986603796482086,0.0,0.0,0.6324868202209473,1.2791589498519897,4.996033191680908,,,,,,,,,
12,1806,,,,,,,,,,1.177372694015503,1.359318733215332,0.05515826493501663,0.09199116379022598,0.0,0.0,1.2252947092056274,2.4025650024414062,5.384284973144531
12,1806,1.1791306734085083,1.3788282871246338,0.08300334960222244,0.1398947685956955,0.0,0.0,0.7847014665603638,1.5824382305145264,4.9266767501831055,,,,,,,,,
13,1945,,,,,,,,,,1.1549265384674072,1.3317123651504517,0.05739428848028183,0.09549850225448608,0.0,0.0,1.3007354736328125,2.5622785091400146,5.128317832946777
13,1945,1.130163550376892,1.3560149669647217,0.07534213364124298,0.1318502277135849,0.0,0.0,0.6814989447593689,1.3829458951950073,4.643751621246338,,,,,,,,,
14,2084,,,,,,,,,,1.135593056678772,1.3094584941864014,0.059649497270584106,0.10194345563650131,0.0,0.0,1.1753658056259155,2.3010988235473633,4.836958885192871
14,2084,1.0856677293777466,1.298126459121704,0.07487371563911438,0.1266230046749115,0.0,0.0,0.653222382068634,1.291515827178955,4.3997979164123535,,,,,,,,,
15,2223,,,,,,,,,,1.0891810655593872,1.2597129344940186,0.06436599045991898,0.10933589935302734,0.0,0.0,1.3590840101242065,2.6379432678222656,4.738192558288574
15,2223,1.042773723602295,1.1959744691848755,0.07621244341135025,0.1334618777036667,0.0,0.0,0.6083945631980896,1.230255126953125,4.049496650695801,,,,,,,,,
16,2362,,,,,,,,,,1.119542121887207,1.3052407503128052,0.059370558708906174,0.1013365089893341,0.0,0.0,1.1718299388885498,2.2997140884399414,5.060046195983887
16,2362,1.0287994146347046,1.2302321195602417,0.07905313372612,0.13558562099933624,0.0,0.0,0.9385342001914978,1.9439947605133057,4.565030097961426,,,,,,,,,
17,2501,,,,,,,,,,1.0747456550598145,1.244957447052002,0.0719602108001709,0.12190691381692886,0.0,0.0,1.33620285987854,2.5747151374816895,4.68585205078125
17,2501,1.045468807220459,1.2523921728134155,0.0695267915725708,0.1207129955291748,0.0,0.0,0.7766754627227783,1.5964272022247314,4.424282550811768,,,,,,,,,
18,2640,,,,,,,,,,1.047652244567871,1.2164766788482666,0.0709582269191742,0.11565709859132767,0.0,0.0,1.4151206016540527,2.7110042572021484,4.6152777671813965
18,2640,1.0251749753952026,1.2261446714401245,0.07834197580814362,0.13604941964149475,0.0,0.0,0.5915636420249939,1.2088594436645508,3.8243448734283447,,,,,,,,,
19,2779,,,,,,,,,,1.0221707820892334,1.1867848634719849,0.06878124177455902,0.11605812609195709,0.0,0.0,1.4041478633880615,2.688493013381958,4.314881324768066
19,2779,0.9971683621406555,1.204260230064392,0.08320210874080658,0.14638961851596832,0.0,0.0,0.4348752498626709,0.8898077607154846,3.3942596912384033,,,,,,,,,
20,2918,,,,,,,,,,1.001532793045044,1.163050651550293,0.06960314512252808,0.1169620156288147,0.0,0.0,1.449697494506836,2.777249336242676,4.301699638366699
20,2918,0.960197925567627,1.1545400619506836,0.08122909814119339,0.14565876126289368,0.0,0.0,0.5260936617851257,1.0727468729019165,3.2292232513427734,,,,,,,,,
21,3057,,,,,,,,,,0.9757509827613831,1.1326411962509155,0.07082834094762802,0.11835125088691711,0.0,0.0,1.574554204940796,3.023254871368408,4.368539333343506
21,3057,0.9344103932380676,1.1229735612869263,0.0838288739323616,0.15107476711273193,0.0,0.0,0.554662823677063,1.1380109786987305,3.0529093742370605,,,,,,,,,
22,3196,,,,,,,,,,0.9921307563781738,1.1463711261749268,0.06678438186645508,0.11079835891723633,0.0,0.0,1.5621739625930786,2.968832492828369,4.450065612792969
22,3196,0.9019708037376404,1.1066372394561768,0.08741786330938339,0.15435300767421722,0.0,0.0,0.7893694639205933,1.6751421689987183,3.439775228500366,,,,,,,,,
23,3335,,,,,,,,,,0.9670947790145874,1.1189343929290771,0.06816819310188293,0.11382277309894562,0.0,0.0,1.561418056488037,3.017822265625,4.219095706939697
23,3335,0.8983960151672363,1.059997797012329,0.08290334045886993,0.1504146009683609,0.0,0.0,0.6686642169952393,1.3853572607040405,3.225229024887085,,,,,,,,,
24,3474,,,,,,,,,,0.9335399866104126,1.0823521614074707,0.07066550105810165,0.11755622178316116,0.0,0.0,1.5691652297973633,3.0118765830993652,4.040836811065674
24,3474,0.8773423433303833,1.0439954996109009,0.0831642597913742,0.15159642696380615,0.0,0.0,0.4808385968208313,0.9731664657592773,2.7358758449554443,,,,,,,,,
25,3613,,,,,,,,,,0.9242743253707886,1.0722301006317139,0.06824982166290283,0.11363967508077621,0.0,0.0,1.5497690439224243,2.99914813041687,3.9928646087646484
25,3613,0.8724545240402222,1.0405713319778442,0.08654510229825974,0.1560022383928299,0.0,0.0,0.5902469158172607,1.2072855234146118,2.8102376461029053,,,,,,,,,
26,3752,,,,,,,,,,0.9302063584327698,1.0772184133529663,0.06924322247505188,0.11664701998233795,0.0,0.0,1.5248069763183594,2.9409689903259277,3.959115505218506
26,3752,0.8562320470809937,1.0255794525146484,0.0805552676320076,0.14211885631084442,0.0,0.0,0.6299859285354614,1.3181946277618408,2.90692400932312,,,,,,,,,
27,3891,,,,,,,,,,0.9020485877990723,1.0475034713745117,0.06984668225049973,0.11708074063062668,0.0,0.0,1.5258299112319946,2.9435877799987793,3.8919005393981934
27,3891,0.8461785912513733,1.0255153179168701,0.07570788264274597,0.13684090971946716,0.0,0.0,0.3889465928077698,0.8058120012283325,2.4150500297546387,,,,,,,,,
28,4030,,,,,,,,,,0.9002581238746643,1.0469982624053955,0.06836943328380585,0.11569394171237946,0.0,0.0,1.5448920726776123,2.957768678665161,3.836573362350464
28,4030,0.8222122192382812,0.9726864099502563,0.0849628895521164,0.14637720584869385,0.0,0.0,0.3763412535190582,0.7704420685768127,2.3321962356567383,,,,,,,,,
29,4169,,,,,,,,,,0.8759238123893738,1.019395351409912,0.07031484693288803,0.11810275912284851,0.0,0.0,1.6350102424621582,3.1786224842071533,3.8927948474884033
29,4169,0.8083628416061401,0.9707252979278564,0.07725218683481216,0.13476385176181793,0.0,0.0,0.31593838334083557,0.6482893824577332,2.168799638748169,,,,,,,,,
30,4308,,,,,,,,,,0.8624045848846436,1.0032463073730469,0.07102099806070328,0.11781653016805649,0.0,0.0,1.595917820930481,3.122725486755371,3.7762324810028076
30,4308,0.7941941618919373,0.9483252763748169,0.08216269314289093,0.14907070994377136,0.0,0.0,0.3338676691055298,0.6973987221717834,2.1258585453033447,,,,,,,,,
31,4447,,,,,,,,,,0.8490424156188965,0.9859597682952881,0.07198187708854675,0.11939927935600281,0.0,0.0,1.6731947660446167,3.2675211429595947,3.8714559078216553
31,4447,0.7762875556945801,0.9203584790229797,0.0875726044178009,0.15504321455955505,0.0,0.0,0.32155105471611023,0.6647310256958008,2.0604231357574463,,,,,,,,,
32,4586,,,,,,,,,,0.8368915319442749,0.9726912379264832,0.07174205780029297,0.11903052031993866,0.0,0.0,1.8647973537445068,3.635509490966797,4.1681294441223145
32,4586,0.7652904391288757,0.9179930090904236,0.07957600802183151,0.14262844622135162,0.0,0.0,0.3355158865451813,0.6894571185112,2.009354591369629,,,,,,,,,
33,4725,,,,,,,,,,0.8349817395210266,0.9694693088531494,0.07180438935756683,0.11841552704572678,0.0,0.0,1.8341970443725586,3.58743953704834,4.062451362609863
33,4725,0.7544997334480286,0.8896571397781372,0.08487764000892639,0.15042968094348907,0.0,0.0,0.3480665683746338,0.7347439527511597,1.9810811281204224,,,,,,,,,
34,4864,,,,,,,,,,0.8254226446151733,0.9580621123313904,0.07360266149044037,0.12032793462276459,0.0,0.0,1.6277881860733032,3.1591804027557373,3.611384868621826
34,4864,0.7420911192893982,0.8832066655158997,0.08125805854797363,0.14465896785259247,0.0,0.0,0.3305744528770447,0.6911265254020691,1.930478811264038,,,,,,,,,
35,5003,,,,,,,,,,0.8159451484680176,0.9477442502975464,0.0734090656042099,0.11921378970146179,0.0,0.0,1.657022476196289,3.237001419067383,3.6416707038879395
35,5003,0.728991687297821,0.8831421136856079,0.07854016870260239,0.13705351948738098,0.0,0.0,0.3151634633541107,0.654996931552887,1.8910443782806396,,,,,,,,,
36,5142,,,,,,,,,,0.8104639649391174,0.9402457475662231,0.07367700338363647,0.12031453102827072,0.0,0.0,1.7239290475845337,3.3873229026794434,3.7597815990448
36,5142,0.7223795056343079,0.8612397313117981,0.08188824355602264,0.14176534116268158,0.0,0.0,0.307191401720047,0.6328720450401306,1.8495426177978516,,,,,,,,,
37,5281,,,,,,,,,,0.8035140037536621,0.9320967793464661,0.07409451901912689,0.12066618353128433,0.0,0.0,1.6688898801803589,3.2717487812042236,3.609506607055664
