epoch,step,train_Energy_MAE,train_Energy_RMSE,train_Force_MAE,train_Force_RMSE,train_Magmom_MAE,train_Magmom_RMSE,train_Stress_MAE,train_Stress_RMSE,train_Total_Loss,val_Energy_MAE,val_Energy_RMSE,val_Force_MAE,val_Force_RMSE,val_Magmom_MAE,val_Magmom_RMSE,val_Stress_MAE,val_Stress_RMSE,val_Total_Loss
0,69,,,,,,,,,,1.431626796722412,2.1021370887756348,0.029897192493081093,0.05797974020242691,0.0,0.0,1.2255923748016357,2.8616273403167725,9.591506958007812
0,69,1.2218811511993408,1.8181970119476318,0.04007256031036377,0.07588832080364227,0.0,0.0,1.0746254920959473,2.296454429626465,8.412641525268555,,,,,,,,,
1,139,,,,,,,,,,1.463873028755188,2.0416486263275146,0.03611841797828674,0.06306467950344086,0.0,0.0,0.7694188356399536,1.572101354598999,7.512356758117676
1,139,1.2291544675827026,1.8062165975570679,0.04395083338022232,0.08112466335296631,0.0,0.0,0.9068801403045654,2.0330698490142822,7.5302629470825195,,,,,,,,,
2,209,,,,,,,,,,1.3924634456634521,1.972069263458252,0.04794466122984886,0.08816314488649368,0.0,0.0,0.7870209813117981,1.7240418195724487,7.120937824249268
2,209,1.3618903160095215,1.9031611680984497,0.05415075272321701,0.09577139467000961,0.0,0.0,0.9906506538391113,2.2328109741210938,7.032541751861572,,,,,,,,,
3,279,,,,,,,,,,1.4069428443908691,1.9055277109146118,0.041487932205200195,0.07153608649969101,0.0,0.0,0.7200600504875183,1.3951458930969238,6.131908416748047
3,279,1.2071577310562134,1.7167060375213623,0.0472927950322628,0.08507483452558517,0.0,0.0,0.7895038723945618,1.7705501317977905,6.673785209655762,,,,,,,,,
4,349,,,,,,,,,,1.3247127532958984,1.8887403011322021,0.04337255656719208,0.07214605808258057,0.0,0.0,0.8229091167449951,1.9212669134140015,6.714467525482178
4,349,1.3057382106781006,1.7117074728012085,0.07613443583250046,0.14382006227970123,0.0,0.0,1.0331724882125854,2.263932466506958,6.094398021697998,,,,,,,,,
5,419,,,,,,,,,,1.319544792175293,1.8456804752349854,0.04799707233905792,0.08217296749353409,0.0,0.0,0.9761759638786316,1.9818791151046753,6.077323913574219
5,419,1.1942507028579712,1.698281168937683,0.061650071293115616,0.10832439363002777,0.0,0.0,0.9465606212615967,2.108133554458618,6.2907915115356445,,,,,,,,,
6,489,,,,,,,,,,1.2295725345611572,1.7076865434646606,0.05169175937771797,0.09055062383413315,0.0,0.0,1.3795690536499023,2.9036169052124023,5.676684856414795
6,489,1.2017700672149658,1.677435040473938,0.06826244294643402,0.12379592657089233,0.0,0.0,0.9251748323440552,2.0690269470214844,5.578309059143066,,,,,,,,,
7,559,,,,,,,,,,1.2032476663589478,1.6895153522491455,0.05762404575943947,0.10226106643676758,0.0,0.0,0.9667718410491943,1.9698762893676758,5.0293402671813965
7,559,1.1664831638336182,1.6082465648651123,0.07022211700677872,0.12898732721805573,0.0,0.0,1.0000141859054565,2.214106798171997,5.4776482582092285,,,,,,,,,
8,629,,,,,,,,,,1.0917776823043823,1.57844078540802,0.06747301667928696,0.12445252388715744,0.0,0.0,0.876743495464325,1.954559564590454,4.579120635986328
8,629,1.095737099647522,1.5478520393371582,0.082887202501297,0.15842843055725098,0.0,0.0,1.0586203336715698,2.4663617610931396,5.145833969116211,,,,,,,,,
9,699,,,,,,,,,,1.3097333908081055,1.8969749212265015,0.06712666153907776,0.11179672181606293,0.0,0.0,1.0907580852508545,2.375378370285034,6.958126068115234
9,699,1.1421042680740356,1.606177568435669,0.09158806502819061,0.1757010966539383,0.0,0.0,1.3937828540802002,3.1997334957122803,6.780894756317139,,,,,,,,,
10,769,,,,,,,,,,1.5403770208358765,2.2247650623321533,0.03700966015458107,0.06286467611789703,0.0,0.0,0.9336771965026855,2.117565870285034,9.11095142364502
10,769,1.2187267541885376,1.8523625135421753,0.10320728272199631,0.1951734572649002,0.0,0.0,1.7701103687286377,4.381442070007324,10.818398475646973,,,,,,,,,
11,839,,,,,,,,,,1.553336262702942,2.229079246520996,0.04201764240860939,0.07126676291227341,0.0,0.0,0.8537197709083557,1.9163416624069214,9.032801628112793
11,839,1.2787185907363892,1.8604854345321655,0.057499513030052185,0.10762389004230499,0.0,0.0,0.9472832083702087,2.158139944076538,8.20182991027832,,,,,,,,,
